,Unnamed: 0,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,sentiment_target
47,679,The #SXSW iPhone app is one of the worst that I had to use for a long time.,iPad or iPhone App,Negative emotion,0
48,686,The iPhone Twitter Auto -Restoring from Links for me.#SXSW,iPad or iPhone App,Negative emotion,0
49,692,My iPhone is overheated.,iPhone,Negative emotion,0
50,699,My iPhone wilds under the stress of being at #SXSW.,iPhone,Negative emotion,0
51,718,"More than just a place, Pixieengine! Rt @mention Google says that the future is location, place, place: {link} #Sxsw #cnn",Google,Negative emotion,0
52,724,"iPhone, I know that this #sxsw week will be difficult for your already dwindling battery, but help me Jebus if you correct my curse words again and again.",iPhone,Negative emotion,0
53,734,"Google, to have started a new new social network called Circles (updated) {link} *, but soon, will that take care of me?",Other Google product or service,Negative emotion,0
54,797,"Google to start product! Wait, no introduction, but the product is available.",Google,Negative emotion,0
55,811,"God, it's like with #SXSW - I amac, MacBook, iPhone and Blackberry.",iPhone,Negative emotion,0
56,813,"Ha, it seems like that -& gt; ��@@drain the only news at sxswi were Apple's temporary iPad store? #Sxsw #wth?� ۝",Apple,Negative emotion,0
57,878,Compiling my #SXSW list in a Google document takes much longer than I thought ... So many parties. So many good musicians.,Other Google product or service,Negative emotion,0
58,879,"Day 1 and my charger stepped the bucket. Where to the devil is the Apple Store, which can be reached on foot? #Sxsw",Apple,Negative emotion,0
59,882,"With just my iPhone and my iPad on me, I feel very incredible compared to everyone else.",iPhone,Negative emotion,0
60,886,Hm? We still need 1?,,Negative emotion,0
61,904,"Google doesn't start anything during #SXSW, just celebrate {link} #circles",,Negative emotion,0
62,912,"& quot;All #SXSW are nothing more than a swimming sea of iPhone addicts that are too busy, in order to ever get in touch with an anoth�_ (fort) {link}",iPhone,Negative emotion,0
63,913,No fan of a new #SXSW trend - audience who share opinions about keeping an iPad. Not here to listen to you. #Annoying,iPad,Negative emotion,0
64,926,"According to Tomlinson from TX Observer, Apple subscription data for success is the greatest obstacle to success. #Newsapps #SXSW",Apple,Negative emotion,0
65,949,@MENTION Pack a point by showing the iPhone fragmentation #SXSW,iPhone,Negative emotion,0
66,967,I left my paper leader in the hotel. I don't know how to deal with it. What does that say about the usability of the iPad/iPhone -app? #Sxsw,iPad or iPhone App,Negative emotion,0
67,985,.@Mentioning problem with Google Living Stories was the process of creating content did not change - just an interface. #Hacknews #SXSW,Other Google product or service,Negative emotion,0
68,994,Brilliant Read: respectable and media specialist: The iPad will not save you from @mention {link} #usguys #sxsw,,Negative emotion,0
69,1014,"Lahm.rt @mention & quot;... according to the law of average values, better than buzz & quot; rt @mention & quot;Google Circles will be ______ & quot; #sxsw",Other Google product or service,Negative emotion,0
70,1021,New #SXSW rule: no longer about your new iPad. We understand it. It is not a big thing. Jeder now has one ... :-),iPad,Negative emotion,0
71,1029,"My iPhone says it cannot connect to the Internet, even though #SXSW WiFi works excellently on my computer.",,Negative emotion,0
72,1051,Q: Why do social websites often have better results than Google or Bing? #QAGB #sxsw,Google,Negative emotion,0
73,1081,Just read that #Aplle is sold on the release day at #SXSW.,Apple,Negative emotion,0
74,1099,���@consider the 10 most dangerous iPhone apps.#Sxsw {link},iPad or iPhone App,Negative emotion,0
75,1134,"So I went with my laptop & amp all day; I just used my iPad 1. things that I missed: FTP, CloudApp, quick type & amp; skype. #Ipad #SXSW",iPad,Negative emotion,0
76,1137,You think there would be a #SXSW app for Blackberry.,iPhone,Negative emotion,0
77,1147,People in this apple business don't smell ... great. #SXSW #HereWork #Notheipad2,Apple,Negative emotion,0
78,1165,Many thanks to @mmention to test a car for the Apple Store. Now we hope that you can repair my phone !!#SXSW,Apple,Negative emotion,0
79,1205,"Therefore, we can fail Google on another day on another day, in Okay, no Google Circles that debut today at #SXSW",Google,Negative emotion,0
80,1232,Do I know you? Why do you sell me to me! We've never spoken. I hate your product now!,iPhone,Negative emotion,0
81,1237,Apple Pop -up Store ... line is ridiculous.#Sxsw {link},Apple,Negative emotion,0
82,1238,Try to update software (4.0) on the iPhone to download the #SXSW app. But so far no luck - ask yourself whether it is because the phone comes from Mexico.,,Negative emotion,0
83,1239,DEF could use an iPad for #sxsw today.,iPhone,Negative emotion,0
84,1252,Denger a return of #Socialfuel #SXSW to see the big difference.,Google,Negative emotion,0
85,1260,�� Why are we better than #google?,,Negative emotion,0
86,1273,"If #Aplle weren't so cocky, a separate iPad2 business at #SXSW would have been a good idea. I think you don't need additional marketing;)",Apple,Negative emotion,0
87,1289,"Disassemned by the battery life of my iPhone. At 11% at 3:30 p.m., while my Blackberry is strong.#SXSW",iPhone,Negative emotion,0
88,1300,"Just when they thought ""social"" ""in #SXSW, Google could no longer be exaggerated. Today: {link}",Other Google product or service,Negative emotion,0
89,1309,@Mmention - #Aplle is the classic fascist company in America. Elegant. #sxsw #rji,Apple,Negative emotion,0
90,1339,"Lost iPad, damaged iPhone and crazy hotels.",iPhone,Negative emotion,0
91,1342,"At lunchtime the iPhone at mid-battery. This socket that is blocked by an immovable stand, does not fulfill no purpose than mocking me.#Sxsw {link}",iPhone,Negative emotion,0
92,1378,SXSW 2011: News of the iPad News Apps quickly fades under the digital delegates {link} via @memention #SXSW XIPAD,iPad or iPhone App,Negative emotion,0
93,1402,So true !!! Rt @memention 'Google lost its way by taking too much for the business compared to the users - @memention #psych #sxsw,Google,Negative emotion,0
94,1422,Shite App.:( RT @mention New #uBerocial for #iphone Now im App Store enthält Uberguide zu #SXSW SPONSO��_ (cont) {link},iPad or iPhone App,Negative emotion,0
95,1453,I know it is #SXSW because my iPhone lied to me through its signal strength.,iPhone,Negative emotion,0
96,1460,@Mentions nexus s on t-mobile is 10 times more useful than my iPhone4 on AT & AMP;T at #sxsw. is it that too many people have iPhone?,iPhone,Negative emotion,0
97,1469,Hmm ... cannot have any Twitter search in Hootsuite or tweetdeck updated on the iPad.#SXSW,iPad or iPhone App,Negative emotion,0
98,1492,@mention @mention @mentation paper phones? means that an iPad at #SXSW will probably also be useless. #failure,iPad,Negative emotion,0
99,1614,"@MENTION & QUOT;I've been working on Google for over 11 years, so I saw a lot of angry.& quot; #QAGB #SXSW",Google,Negative emotion,0
100,1686,With #SXSW #Tapworthy iPad design headache - avoid the pitfalls of the new design challenges,iPad,Negative emotion,0
101,1691,Disaster = iPhone died in the middle of #sxsw ... cannot work. On the way to the Apple Store.,iPhone,Negative emotion,0
102,1699,"The iPad 1 is March 11, 2011 16:59 PST.#SXSW",iPad,Negative emotion,0
103,1702,Not even 10 a.m. here in Austin and my iPhone battery is at 54% - shit #SXSW #noteVenstartedyet,iPhone,Negative emotion,0
104,1753,"Apple is a more selfish brand than Microsoft, but it served its brand well.#SXSW",Apple,Negative emotion,0
105,1788,"@MENTION, just to talk about mistakes at #SXSW, create the #Netflix #iPhone app",,Negative emotion,0
106,1791,Damn Mac user ..... {link} #sxsw cwebb ipad grant hill,Apple,Negative emotion,0
107,1836,Google Brain Excuses for Randy ads that appear with search results.,,Negative emotion,0
108,1838,2+ hours wait in the provisional Apple Store for iPad 2. #fail #sxsw,Apple,Negative emotion,0
109,1843,It does not make sense to limit the content to a specific platform.If it is on the iPad,iPad or iPhone App,Negative emotion,0
110,1846,"Guy Kawasaki ""I believe in God because there is no other explanation for the continuous survival of Apple over the years",Apple,Negative emotion,0
111,1860,Groupme talks about the approval performance of Apple App Store - there would be a large group of people who would agree! #Whowillrise #SXSW,Apple,Negative emotion,0
112,1861,Not everything is apple love here at #sxsw. heard a lot of grumbling about holding the functions on iPad 1 so that people had to buy V2.,Apple,Negative emotion,0
113,1862,Why are all the #android Meetups here in #austin when I'm at work? At least there is the PS -Metup #SXSW,Android,Negative emotion,0
114,1893,"Not with an iPad 2 for the backwards, here is what you get: {link} #SXSW",iPad,Negative emotion,0
115,1918,@MENTION Android needs a way to group apps that you can do with iPad/iPod now. #sxsw #hhrs,Android,Negative emotion,0
116,1926,Lonely Planet publishes the free iPhone app by Austin City Guide for #SXSW.ALS whether there are enough apps that overload your handset.,iPad or iPhone App,Negative emotion,0
117,1934,@MENTION Another Google social failure? #sxsw,Google,Negative emotion,0
118,1944,"Is there a way to delete an app that does not stop loading the iPhone? Drain my power, but no 'x' to cancel.",iPad or iPhone App,Negative emotion,0
119,1952,A big #Aplle iOS update a day before #SXSW? Which genius project manager has developed this brilliant idea? #Nowhammies,Apple,Negative emotion,0
120,1955,@mention Apple Pop-up Store bei #SXSW war 5 Blocks lang!#BetterThingStodo,Apple,Negative emotion,0
121,1958,Waiting in the Apple pop-up store at #SXSW Still Long!,,Negative emotion,0
122,1972,Come #Aplle! Why can't I have a magic test without automatic correction? Does it have to be everything or nothing? #Grrr #sxsw,Apple,Negative emotion,0
123,1999,@Mistriction arg.es is not loaded on me iPhone. Not about the app store or the website. I just try to do it with #SXSW and do not feel in contact with it.,iPhone,Negative emotion,0
124,2000,"Had to charge the #Iphone every 6 hours on #SXSW. Run on the lowest possible screen brightness. Apple, fix your basics!",iPhone,Negative emotion,0
125,2026,Is the flash discussion still relevant? #Sxsw #Tapworthy iPad design headache,,Negative emotion,0
126,2029,"Guy has just asked Google's Mayer: It can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",Other Google product or service,Negative emotion,0
127,2034,"NYT, WSJ AT #SXSW ASS: Is there a future for brands native news -apps on the iPad? {Link} / No there is not !!",iPad or iPhone App,Negative emotion,0
128,2135,Marissa Mayer: Google Maps should have better customer service and faster answers. #SXSW #FH,Other Google product or service,Negative emotion,0
129,2146,Nothing says Duuchenkuchen like walking around with an iPad as if it were an iPhone #SXSW,iPad,Negative emotion,0
130,2149,Really surprising when so many people are used on the iPad on the iPad on the iPad,iPad or iPhone App,Negative emotion,0
131,2150,Really surprising when so many people on the iPad on #SXSW: {link} with Apple's notes -app on the,iPad or iPhone App,Negative emotion,0
132,2170,@MENTION BEST I am at #SXSW & quot;I gave my iPad 2 money to #japan relief.,iPad,Negative emotion,0
133,2178,To quote -& gt; rt ���@mention & quot;Apple is the most elegant fascist company in America.& Quot; #flip-board #sxsw,Apple,Negative emotion,0
134,2181,"Will someone write an app with which I can consistently enter ""shit"" on my damn iPhone? Hey #Sxsw ... jump on it.",iPhone,Negative emotion,0
135,2204,"Should I buy an iPad for @METION in the maceshift #SXSW Apple Store on the starting day? Fuck no, I respect him too much ... #wwSXSW",iPad,Negative emotion,0
136,2207,"Lady Bird Lake's walk was very nice, but the travel times of Google Maps are not to be trusted.#SXSW",Other Google product or service,Negative emotion,0
137,2221,"The iPad calendar = the Franken interface. As a interface metaphor designed, but uses another. #Tapworthy #sxsw",,Negative emotion,0
138,2238,"#SXSW #echantment: @mention & quot;Sell your dream. Steve Jobs does not say: The iPhone costs $ 188 to parts+AT & AMP;T, made by PPL in Suicidal Chinese",iPhone,Negative emotion,0
139,2252,"I just started the pop-up Apple Store at #SXSW. It is our ""vintage"" ""shop format: mostly iPods and Snarky employee.ah, the good old days.",Apple,Negative emotion,0
140,2255,"Stupid technology! You always fail at important times! At #SXSW with an iPhone, laptop and blackberry and the only thing that works is my pen.",iPhone,Negative emotion,0
141,2261,It is official: people who use the iPad 2 to take photos just look strange.#Sxsw,iPad,Negative emotion,0
142,2268,Quite excited that my iPhone no longer works #SXSW #at & amp;T,iPhone,Negative emotion,0
143,2293,"Try 2, convince @memention 2 the start of Google Social Network at #sxsw.ich didn't know that there would be a comedy?!",Other Google product or service,Negative emotion,0
144,2302,The data crisis at #SXSW paralyzes Google Voice.Zeit to regular SMS ...,Other Google product or service,Negative emotion,0
145,2304,Expect more insidious approaches such as Apple -Bonnements.rt @mention {link}.,Apple,Negative emotion,0
146,2314,"#flipboard -If the BLDG -app for AppStore, requires holistic MKTG consciousness, P.R. Strategy to promote acceptance is not just based on Apple. #rji #SXSW",,Negative emotion,0
147,2319,I composed a tweet that was so acerbian and cynical about iPad users that crashed my phone and unloaded all of my apps. #Twitterpower #sxsw #imThatgood,iPad,Negative emotion,0
148,2325,"Google and Bing meet at #SXSW for their lovers last month, but it seems to have been disappointingly friendly {link}",Google,Negative emotion,0
149,2326,Google and Bing Page Rank Panel are ridiculously overcrowded. Is Al Franconia or Justin Timberlake here? #Sxsw {link},Google,Negative emotion,0
150,2333,Main -Pad design error: The SXSW Go iPad App.,iPad or iPhone App,Negative emotion,0
151,2349,You should probably put it away ... RT @MENTION at the Android party and somehow embarrassed from my iPhone #SXSW,iPhone,Negative emotion,0
152,2364,"This is how it is not so fat via #SXSW time plan -App with a bad #UI for iPad.Meien finger, all of you.",iPad or iPhone App,Negative emotion,0
153,2385,The forbidden apple was spoiled! Live #samsung! They rock the #SXSW & amp; #sxswis world.,Apple,Negative emotion,0
154,2417,is a bit disappointed that the two iPad talks had so many overlapping examples #SXSW,Apple,Negative emotion,0
155,2433,Fixed tip is not an iPhone Douche.Play your phone away and speak to your colleagues in lines etc. All good people who love films.#SXSW,iPhone,Negative emotion,0
156,2443,At the Android party and somehow embarrassed from my iPhone #SXSW,iPhone,Negative emotion,0
157,2460,"Can someone get the mobile apps #sxsw? I downloaded Android, iPhone and Blackberry and everyone stays downloading at the start.",iPad or iPhone App,Negative emotion,0
158,2468,"Srly Love @mention @mentation promo @mention srsky hate that it excludes @mmention esp.da my iPad insists, I am at Disney #sxsw",iPad,Negative emotion,0
159,2501,"New iPhone car correction has already tried to ""change colleagues"". & Quot; vissigots. & Quot;",iPhone,Negative emotion,0
160,2505,The iPhone Akku was not made for @mmention #SXSW,iPhone,Negative emotion,0
161,2523,New circular game? Rt @mention @Motion Google (again) to start new social network called Circles: {link} #SXSW,Other Google product or service,Negative emotion,0
162,2539,What Apple hopes that you have not noticed via iPad 2 {link} #sxsw #sxswi #technology #mobile #prodmktg,iPad,Negative emotion,0
163,2552,"In the future it will be about networks, not only about data, which is why Google may not win #SXSW #web3 #saatchiny in the long term",Google,Negative emotion,0
164,2559,Why do we rely on web conventions such as small buttons on the iPad? #Uxes #sxsw,iPad,Negative emotion,0
165,2585,LOL 2 True RT @mmention It is official: people who use the iPad 2 to take photos just look strange.#SXSW,iPad,Negative emotion,0
166,2600,Hmm ... the sxsw.com/interactive/live -stream is not iPad/mobile compatible.,iPad,Negative emotion,0
167,2611,"I would like to know which LBS app that I downloaded, the geolocation setting & amp; will not give up. #BatteryKiller #SXSW",iPad or iPhone App,Negative emotion,0
168,2653,"Preparations for ""iPad design headache"" & quot; #sxsw",iPad,Negative emotion,0
169,2661,"I never noticed how crappy was through the iPhone battery to #SXSW, I upload it every few hours",iPhone,Negative emotion,0
170,2670,A few years late? I think,iPad or iPhone App,Negative emotion,0
171,2680,Why the hell does not use Google Maps the browser geo location? I somehow miss it? Use of Chrom.@Mention #Sxsw #startupbus,Other Google product or service,Negative emotion,0
172,2682,Why the hell does someone want Mozilla to switch to Crapkit (web kit) when Gecko is good? Stupid Apple/Google Bandwaggoner.#SXSW,Apple,Negative emotion,0
173,2688,"Apple quotes as the opposite of crowdsourcing - proprietary, Steve Jobs tells you what you want #csuitecsourcing #SXSW",Apple,Negative emotion,0
174,2690,I just passed the line for iPad 2.Bahahahaha! At least 5 blocks long. #Fail #sxsw,iPad,Negative emotion,0
175,2700,I just went past #Aplle #SXSW Temp Store below @mmention and the Apple cult was outside to take photos on iPhones.,Apple,Negative emotion,0
176,2734,"Google prefers to start new social functions with meh, not bang, about TC {link} #SXSW",Google,Negative emotion,0
177,2735,"As in Vegas during #Ces, the iPhone is best used as a hand warmer at #SXSW.",iPhone,Negative emotion,0
178,2747,Note for yourself: Disadvantage of tweeting on a white iPad 2 await you to be m.@MENTION #SXSW,iPad,Negative emotion,0
179,2762,Google seems to sabotage my YouTube account -WTF? Trying the entire online ecosystem? Very bad form #SXSW,Google,Negative emotion,0
180,2772,"For my friends at #SXSW, who think I left them, in reality I just had no means of communication, my iPhone didn't work anymore. #Failure",iPhone,Negative emotion,0
181,2774,What happened to the Taxi Magic iPhone app? Now I can only call the taxis via IT #SXSW,iPad or iPhone App,Negative emotion,0
182,2798,Ha! Rt @mmention Google Guy at #SXSW Talk explains how he did realistic Twitter bots as an experiment.,Google,Negative emotion,0
183,2834,Oh no @mmention #sxsw fail.,iPad or iPhone App,Negative emotion,0
184,2843,Gamechanger like Wave and Buzz undoubtedly RT @memention Google to start a large new social network called Circles {link} #sxsw,Other Google product or service,Negative emotion,0
185,2845,It is never more obvious than with #SXSW how nice it would be if Apple would make things with removable batteries. #Alwayshavingoplugin #GSDM,Apple,Negative emotion,0
186,2864,iPhone user at #SXSW -In each of you are you in your GPS? Is one of the new Geo -app -updates? Foursquare/Gowalla?,iPhone,Negative emotion,0
187,2880,"Apple takes bruises from the participants in the discussion. In the sustainability area, sustainability space. Sustainability reporting and transparency of companies.#Sxsw",Apple,Negative emotion,0
188,2882,Apple likes it if you pay you. The Mag Apple.- Barry Diller #SXSW,Apple,Negative emotion,0
189,2884,The daily newspapers on the iPad will develop ... they are still impossible to download (20 MB and up downloads) #SXSW,,Negative emotion,0
190,2894,The Google presentation by Mayer is a sales talk #fail #SXSW,Google,Negative emotion,0
191,2898,"Sooo ... Design for iPads session is only an hourly display for me, iPad and apps? #Amismarternow? #Sxsw",,Negative emotion,0
192,2899,"In iPad design headache: Take two tablets, call me in the AM -Panel -excited to hear @mmention live! #Sxsw",iPad,Negative emotion,0
193,2904,It was great to hear how Marissa Mayer recognizes that Google Maps must increase support for his product B/C of false routes.#SXSW,Other Google product or service,Negative emotion,0
194,2908,The SXXPress line is almost as long as the Apple line.#Sxsw {link},,Negative emotion,0
195,2970,News from #ipad News #Apps quickly fades under the digital delegates - Aron Pilhofer des Nyt & Amp; Khoi Vinh {Link} #Media #SXSW,iPad or iPhone App,Negative emotion,0
196,2973,"Outside of 9:30 Panels that jump 75% of people, I can hardly have anything on my iPhone.#SXSW has to shrink by 10,000 people.",iPhone,Negative emotion,0
197,2977,News of the iPad messages -apps quickly fade under the #SXSW delegates -from @mention {link},iPad,Negative emotion,0
198,2985,"Pollak, if you have such big problems, do not sell via Apple ... Duh #sxswbigbrands #SXSW",Apple,Negative emotion,0
199,2997,Switch off the Twitter until #SXSW is over and #ipad is forgotten.,iPad,Negative emotion,0
200,2999,Start with @mmention Talking iPad Design Headache #SXSW,iPad,Negative emotion,0
201,3000,"Why does WiFi work on my laptop, but neither the nor 3G on my iPhone? Grrr.#Sxsw",iPhone,Negative emotion,0
202,3029,"@MENTION for the life of mine, I can't get my iPad to synchronize all sessions, only partially. The iPhone is fine, iPad decides what it wants.#sxsw",iPad,Negative emotion,0
203,3042,Taxi ride from hell to the Apple Store in Mall.Sie Sold out. The dinner and then have to find out how to return to the hotel.#SXSW,Apple,Negative emotion,0
204,3055,"Navigating an overcrowded party is shit, but it is worse if everyone runs around with their face in the iPhone. #SXSW #adpeople problem",iPhone,Negative emotion,0
205,3067,The best thing I am at #SXSW & quot this weekend;I gave my iPad 2 money to #japan relief.,iPad,Negative emotion,0
206,3111,"@Mination glad that I have no faulty iPhone at the time, which will decrease well for #SXSW that dies 5 times faster.",iPhone,Negative emotion,0
207,3124,& quot;Google has too many products and has to summarize them.#SXSW (FYI - you have nine mobile products),Google,Negative emotion,0
208,3127,"& quot;Google is looking for technical solutions, which is why they are not great in the community because it is a human solution.& quot; #sxsw",Google,Negative emotion,0
209,3137,& quot;Google to start a new new social network.& quot; I really don't need any other social network ... {link} #sxsw,Other Google product or service,Negative emotion,0
210,3142,"IPad design headache. Interface metaphor. If you look like a book, let yourself be behaved like a book.",iPad,Negative emotion,0
211,3143,Ipad Design Malady: Ipad Elbow - I hate the iPad's back button with the heat of one million sunbathing. #tapworthy #sxsw,iPad,Negative emotion,0
212,3151,I didn't go to #SXSW because I still use an iPhone 3G. #Oldschool #novideo #Veryslow,iPhone,Negative emotion,0
213,3155,@Mension good job @sxsw! Went home & amp; Season 1 of the guild = d.sauces that your tweet is a top -tweet lol via the iPhone -Hijack,iPhone,Negative emotion,0
214,3161,My #SXSW Google calendar will get a little out of control,Other Google product or service,Negative emotion,0
215,3163,@MENTION Google Circles will be lame.#sxsw & lt;3,Other Google product or service,Negative emotion,0
216,3172,I think,Google,Negative emotion,0
217,3180,Who uses Google TV in this room? Nobody increases a hand in a packaged room at #SocialViewing session at #SXSW,,Negative emotion,0
218,3218,"Lunch with @mmention at #cnngrill. View from the HTML5 developer trenches: Android is painful, iOS is slim (for what @mmention does) #sxsw",Android,Negative emotion,0
219,3220,Open Graph has repaired the damage that Google has done for the title day.,Google,Negative emotion,0
220,3230,@MENTION HA! I feel like the only person at #SXSW with a non-Mac/iPad!,Apple,Negative emotion,0
221,3235,IPAD2 in hand thanks to the POPUP Apple Store at #SXSW.ERSTER FREAD: I can have a lemon. The backlight has some bleeding on the ground.,iPad,Negative emotion,0
222,3268,"Be careful, the Android #SXSW app for schedules is completely in -indecisive. I just went to the hyatt for no reason",Android App,Negative emotion,0
223,3275,Data is the new oil. (Companies like Google and Facebook have monopoly and terms of use in front of which are careful) - @mmention #SXSW,Google,Negative emotion,0
224,3295,Kara Swisher: Apple is the most stylish fascist company in America #SXSW,Apple,Negative emotion,0
225,3322,"Well, Cashmore has just given the new iPad a non-electronic non-compliance. #SXSW #checkins #ouch",iPad,Negative emotion,0
226,3325,"Rip My iPhone 4: June 2010 - #SXSW.SIE survived a heavy drop, but could not drown. {Linking}",iPhone,Negative emotion,0
227,3326,"95% of the iPhone and Droid apps have a total of less than 1,000 downloads.#SXSW",Android App,Negative emotion,0
228,3369,Tomorrow I'll go back to the Apple Store ... * sigh * #sxsw,Apple,Negative emotion,0
229,3371,"@MENTION I hate to type an iPad. So, yes, the Ken Calhoun is this man, the real deal! And I bring my laptop to #SXSW Sun.",iPad,Negative emotion,0
230,3375,@MENTION I hope this year's festival is not as unclear as this year's iPhone app.#sxsw,iPad or iPhone App,Negative emotion,0
231,3381,"@MENTION I said iTunes does not work for me (i.e. no Apple software, even if it would be executed on my Ubuntu desktop). Not only #SXSW DL",Other Apple product or service,Negative emotion,0
